numeroRicetta,numero,ingrediente,quantità
172,2,Sale grosso,q.b.
172,3,Pepe nero,q.b.
172,4,Olio extra vergine d'oliva,q.b.
173,1,Pici (pasta fresca),400g
173,2,Aglio,6 spicchi
173,3,Pomodorini,400g
173,4,Peperoncino,1
173,5,Vino bianco,1/2 bicchiere
174,1,Farina 00,500g
174,2,Acqua,300ml
174,3,Lievito di birra,10g
174,4,Olio extra vergine d'oliva,50ml
174,5,Sale grosso,q.b.
175,1,Farina 00,500g
175,2,Acqua,250ml
175,3,Bicarbonato,1 pizzico
175,4,Sale,q.b.
176,1,Pane raffermo,300g
176,2,Cipolle,2
176,3,Pomodori maturi,500g
176,4,Sedano e carote,q.b.
176,5,Basilico,q.b.
177,1,Pane casereccio,4 fette
177,2,Aglio,1 spicchio
177,3,Pomodorini,200g
177,4,Olio extra vergine d'oliva,q.b.
177,5,Basilico,q.b.
178,1,Pane toscano raffermo,500g
178,2,Pomodori pelati,800g
178,3,Aglio,2 spicchi
178,4,Basilico,1 mazzetto
178,5,Brodo vegetale,q.b.
179,1,Strangozzi (pasta fresca),400g
179,2,Tartufo nero pregiato,50g
179,3,Aglio,1 spicchio
179,4,Olio extra vergine d'oliva,q.b.
180,1,Farina di castagne,300g
180,2,Acqua,400ml
180,3,Pinoli,50g
180,4,Uvetta,50g
180,5,Noci,50g
180,6,Rosmarino,1 rametto
181,1,Fagiolina del Trasimeno (secca),300g
181,2,Aglio,2 spicchi
181,3,Salvia,q.b.
181,4,Olio extra vergine d'oliva,q.b.
181,5,Pomodorini,200g
182,1,Farro di Monteleone di Spoleto,320g
182,2,Pancetta,100g
182,3,Pomodorini,300g
182,4,Pecorino grattugiato,q.b.
183,1,"Legumi misti secchi (fave, ceci, fagioli)",400g
183,2,Mais,100g
183,3,Lardo,50g
183,4,Aglio e cipolla,per il soffritto
184,1,Mele,1kg
184,2,Noci,100g
184,3,Uvetta,50g
184,4,Zucchero,100g
184,5,Pasta sfoglia o brisée,2 rotoli
185,1,Farina 00,500g
185,2,Zucchero,250g
185,3,Uova,5
185,4,Strutto,100g
185,5,Alchermes,1 bicchierino
185,6,Meringa,per la copertura
186,1,"Coratella di agnello (cuore, fegato, polmoni)",500g
186,2,Cipolla,1
186,3,Aceto di vino bianco,1/2 bicchiere
186,4,Peperoncino,q.b.
187,1,Panna fresca liquida,500ml
187,2,Semola di grano duro,50g
187,3,Miele,1 cucchiaio
187,4,Sale,q.b.
188,1,Farina di ceci,300g
188,2,Acqua,900ml
188,3,Olio extra vergine d'oliva,100ml
188,4,Sale e pepe nero,q.b.
189,1,Semola di grano duro rimacinata,500g
189,2,Acqua,250ml
189,3,Lievito di birra,7g
189,4,Sale,10g
190,1,Fegatini di maiale,300g
190,2,Rete di maiale,q.b.
190,3,Alloro,q.b.
190,4,Sale e pepe,q.b.
191,1,Bottarga di muggine,100g
191,2,Spaghetti,320g
191,3,Aglio,1 spicchio
191,4,Peperoncino,q.b.
191,5,Prezzemolo,q.b.
192,1,Semola di grano duro,300g (per la pasta)
192,2,Patate,500g (per il ripieno)
192,3,Pecorino sardo fresco,200g (per il ripieno)
192,4,Menta fresca,q.b. (per il ripieno)
192,5,Aglio,1 spicchio (per il ripieno)
193,1,Pecorino Sardo DOP,200g
193,2,Pane carasau,4 fogli
193,3,Miele di corbezzolo,q.b.
194,1,Pane carasau,4 fogli
194,2,Passata di pomodoro,400g
194,3,Uova,4
194,4,Pecorino sardo grattugiato,100g
195,1,Fregula sarda,320g
195,2,Arselle (vongole),1kg
195,3,Pomodorini,200g
195,4,Aglio,1 spicchio
195,5,Prezzemolo,q.b.
196,1,Malloreddus (gnocchetti sardi),400g
196,2,Salsiccia fresca sarda,300g
196,3,Passata di pomodoro,500g
196,4,Cipolla,1
196,5,Zafferano,1 bustina
196,6,Pecorino sardo,q.b.
197,1,Pane raffermo di semola,500g
197,2,Formaggio pecorino fresco,300g
197,3,Brodo di pecora,2L
197,4,Prezzemolo,q.b.
198,1,Bacche di mirto,500g
198,2,Alcol puro 95°,500ml
198,3,Zucchero,400g
198,4,Acqua,500ml
199,1,Semola di grano duro,200g (per la pasta)
199,2,Strutto,50g (per la pasta)
199,3,Formaggio pecorino fresco,300g (per il ripieno)
199,4,Scorza di limone,q.b. (per il ripieno)
199,5,Miele (di corbezzolo o millefiori),q.b. (per servire)
199,6,Olio per friggere,q.b.
200,1,Maialino da latte (su porceddu),1 (circa 4-5 kg)
200,2,Sale,q.b.
200,3,Mirto,alcuni rametti
200,4,Lardo,100g
